Census District	Census Map Code	Race: Total	Race: Black	Race: White	Race: Mixed / Other	Race: Not Stated	Median Annual Household Income	Religion: Total	Religion: None	Religion: Anglican	Religion: Roman Catholic	Religion: AME	Religion: Non Denomination	Religion: Seventh Day Adventist	Religion: Other/ Not Stated	Status: Bermudian	Status: Non-Bermudian	Status: Not Stated	Health: Seeing Difficulties	Health: High Blood Pressure	Health: Asthma	Health: Arthritis	Health: Diabetes Type II	Health: Seeing Difficulties with Lenses	Health: Back Spine Problem	Health: Heart Condition	Health: Cancer	"Health: Stomach, Kidney, Liver"	Health: Diabetes Type I	Health: Hearing Difficulties	Health: Moving Mobility Difficulty	Health: Mental  Emotional disorder	Health: Other respiratory/Lung Problem	Health: Body Movement Difficulty	Health: No Limited use of Leg(s)	Health: Learning difficulties	Health: Speaking Difficulties	Health: Epilepsy	Health: Senility Alzheimers	Health: Gripping Holding Difficulty	Health: Learning Disabled	Health: Sickle-Cell Anemia	Health: Muscular Disease Impairment	Health: No/limited use of Arms	Health: Alcohol Dependency	Health: Behavioural Difficulty	Health: Lupus	Health: Drug Dependency	Health: Autism/PD	Health: Complete Blindness	Health: Complete Deafness	Health: Other Conditions	Health: Not Stated
CD809	8-09	281	112	114	51	4	"$140,400"	272	90	33	51	16	4	30	48	201	80	0	9	29	29	12	5	2	10	8	6	3	4	2	0	1	2	0	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	1	9	3
CD810	8-10	190	69	94	25	2	"$110,667"	171	52	44	26	6	10	9	24	138	52	0	20	20	7	4	8	4	8	7	4	4	3	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	1
CD811	8-11	427	100	251	72	4	"$108,000"	402	78	84	102	11	14	8	105	277	149	1	45	37	21	9	13	10	15	10	15	4	1	4	1	5	0	1	0	1	0	1	1	0	1	0	1	0	3	0	0	1	0	0	0	29	3
CD812	8-12	670	331	205	132	2	"$85,143"	610	116	66	102	41	51	84	150	441	227	2	61	66	26	9	22	27	11	9	12	3	4	6	7	3	3	1	0	4	1	3	0	0	0	0	0	0	1	0	0	0	0	0	2	22	3
CD813	8-13	471	363	46	60	2	"$89,455"	452	44	58	50	67	55	66	112	395	71	5	34	59	29	17	25	11	11	17	6	5	5	2	3	1	2	5	1	2	8	8	2	0	8	4	1	0	0	7	0	0	1	4	3	27	4
CD814	8-14	485	349	50	86	0	"$94,875"	437	50	33	70	69	51	65	99	401	82	2	50	61	33	14	25	16	13	13	10	6	6	1	3	0	1	1	2	2	2	2	2	0	0	2	0	0	1	0	1	0	1	1	1	16	4
CD815	8-15	301	211	65	25	0	"$108,706"	300	99	31	29	41	19	39	42	235	65	1	28	50	36	15	12	2	15	10	4	11	6	4	5	0	4	2	0	1	0	0	0	0	0	4	1	0	1	1	1	1	0	1	0	9	0
CD816	8-16	262	219	14	29	0	"$95,000"	248	42	16	26	32	12	69	51	222	40	0	19	33	18	7	3	24	8	7	2	3	4	1	2	1	0	0	1	0	0	1	2	0	0	1	2	1	1	0	0	0	2	0	0	16	1
CD817	8-17	336	248	35	52	1	"$93,000"	318	39	54	30	24	17	67	87	284	52	0	20	42	20	15	23	5	9	8	2	8	1	2	6	2	1	2	4	0	0	2	2	0	1	0	1	0	0	0	0	0	0	1	0	19	1
CD818	8-18	230	91	113	24	2	"$116,000"	192	24	42	33	18	12	13	50	174	55	1	17	24	9	10	13	9	8	6	3	3	3	6	2	0	1	2	2	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	11	2
CD819	8-19	119	108	8	3	0	"$27,563"	119	4	19	0	18	4	26	48	117	0	2	4	62	11	26	24	0	5	14	0	3	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	2
CD901	9-01	226	154	40	31	1	"$78,000"	204	49	33	16	14	25	4	63	211	13	2	22	22	16	8	7	9	6	10	3	2	5	2	0	0	1	1	3	2	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	10	2
CD902	9-02	633	441	111	80	1	"$102,546"	577	130	83	36	49	94	44	141	557	75	1	58	60	43	14	16	13	10	15	9	7	2	6	5	6	7	2	1	10	2	1	3	1	5	1	1	1	1	0	1	1	1	0	0	26	2
CD903	9-03	234	122	80	32	0	"$114,857"	224	41	31	34	7	23	30	58	191	43	0	25	23	14	9	8	6	5	6	4	5	1	3	1	2	2	5	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	15	2
CD904	9-04	314	201	73	37	3	"$103,200"	294	35	49	38	41	29	20	82	283	30	1	103	66	32	21	14	12	15	10	9	2	1	5	4	1	1	1	1	3	1	2	2	1	3	0	0	2	4	0	0	1	0	0	0	16	0
CD905	9-05	313	135	130	39	9	"$99,429"	296	61	81	42	28	21	7	56	283	30	0	69	49	31	18	11	9	10	11	9	8	4	5	7	5	2	2	6	2	5	2	5	1	1	0	2	2	0	1	0	0	0	0	0	18	2
CD906	9-06	295	218	43	34	0	"$101,250"	260	27	38	14	38	26	20	97	272	23	0	22	32	12	12	13	10	5	6	2	7	5	3	4	2	4	3	1	3	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	13	2
CD907	9-07	305	231	40	33	1	"$102,000"	285	20	37	35	25	27	33	108	252	52	1	74	34	23	5	11	0	5	6	6	2	5	3	2	2	1	2	2	2	0	0	2	1	0	0	1	0	1	0	1	0	0	1	0	8	4
CD908	9-08	170	39	64	65	2	"$63,600"	170	19	19	52	8	7	11	54	94	76	0	14	17	12	6	4	2	5	1	6	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	3	1
CD909	9-09	309	206	66	36	1	"$114,000"	270	45	59	19	40	36	20	51	278	31	0	31	46	12	16	9	12	7	10	6	0	1	1	4	1	3	0	2	3	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	20	5
CD910	9-10	294	216	44	34	0	"$99,000"	286	38	38	47	18	52	21	72	240	53	1	23	52	23	14	17	6	16	10	5	7	8	4	6	2	2	5	3	2	3	0	0	0	2	2	1	1	1	2	0	1	1	0	0	7	1
CD911	9-11	230	188	17	25	0	"$84,000"	218	14	29	8	36	46	18	67	210	20	0	7	19	7	4	12	2	2	2	1	1	2	3	2	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	1
CD912	9-12	180	136	20	22	2	"$114,667"	162	29	16	16	22	19	14	46	171	9	0	19	18	8	9	12	5	6	4	1	1	2	3	3	2	0	1	0	0	1	1	0	0	3	4	0	0	0	2	1	0	0	1	0	16	0
CD913	9-13	310	273	18	19	0	"$81,600"	292	46	45	14	66	24	38	59	296	14	0	44	47	38	12	21	15	14	9	6	8	2	2	5	6	1	4	5	2	4	1	0	2	2	2	3	0	1	1	2	1	1	0	0	27	3
CD914	9-14	234	179	34	20	1	"$128,400"	231	36	48	7	31	31	12	66	216	18	0	5	35	15	9	10	1	7	3	5	1	2	1	0	1	0	1	3	1	1	2	1	0	2	0	1	1	0	0	0	0	0	0	0	11	4
CD915	9-15	238	147	66	21	4	"$82,500"	224	25	49	13	26	21	14	76	215	22	1	36	39	10	16	11	4	10	7	6	5	1	7	3	1	0	4	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	12	5
CD916	9-16	287	225	34	28	0	"$102,000"	251	47	29	7	40	14	41	73	271	16	0	26	39	11	8	15	2	9	6	4	5	5	0	3	4	0	2	1	1	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	20	0
CD917	9-17	332	259	19	52	2	"$94,800"	304	39	48	20	56	14	33	94	308	24	0	97	60	40	10	15	12	15	11	6	4	3	6	3	3	0	1	3	1	2	1	0	0	1	2	0	2	1	1	1	1	0	0	0	32	3
CD918	9-18	382	299	54	28	1	"$88,200"	366	67	65	33	40	54	31	76	336	43	3	30	41	24	16	15	6	17	11	9	8	4	4	4	6	4	4	2	1	1	0	1	2	0	3	2	0	1	1	0	0	1	0	0	11	2
CD919	9-19	241	162	57	21	1	"$103,714"	223	38	25	23	29	17	9	82	220	21	0	22	38	20	18	13	5	16	8	5	4	4	2	4	0	2	2	2	1	1	2	0	2	0	1	1	0	0	1	0	0	0	0	0	11	1
CD920	9-20	257	118	99	39	1	"$106,000"	240	52	50	33	15	28	10	52	208	49	0	37	26	20	3	11	12	7	8	3	3	7	6	4	0	3	1	1	2	1	0	1	0	1	0	2	1	0	2	0	0	0	1	0	13	0
CD921	9-21	259	129	94	34	2	"$110,000"	250	35	65	19	38	22	10	61	210	49	0	24	35	27	19	8	29	8	7	3	1	0	2	0	6	3	0	0	0	2	0	2	0	0	1	1	1	0	1	1	0	1	0	1	9	0
CD922	9-22	347	237	65	44	1	"$116,571"	340	45	73	33	51	27	21	90	292	55	0	112	63	34	11	14	15	14	18	8	8	9	8	4	3	0	1	1	2	5	2	2	1	3	2	0	0	0	3	1	1	2	0	0	16	3
CD923	9-23	316	226	42	48	0	"$84,000"	307	40	27	20	31	85	30	74	287	29	0	16	35	20	9	16	3	15	9	1	5	3	4	4	3	1	1	2	2	1	1	1	0	1	2	0	2	1	0	0	1	0	0	0	24	2
CD924	9-24	458	352	41	64	1	"$80,526"	458	94	43	32	51	81	57	100	394	64	0	31	59	45	17	28	1	18	9	8	5	4	8	3	4	7	1	1	4	2	2	0	0	0	3	2	5	0	0	3	0	0	0	0	44	0
CD925	9-25	469	375	50	42	2	"$94,909"	431	95	41	34	51	73	30	107	436	33	0	37	56	34	18	23	14	11	11	5	5	12	0	3	2	3	1	5	1	0	2	2	5	0	1	1	2	0	0	1	0	0	0	0	27	2
CD926	9-26	20	14	0	6	0	**	20	13	0	0	0	3	0	4	20	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
